#,Symbol,Last Trade,Change,% Change,Description,P/E (ttm),Dividend Yield,Notes, 
70,AAPL,178.72,-1.085,-0.60,Apple Inc,30.57,0.54,, 
78,ABT,105.76,+0.18,+0.17,Abbott Laboratories,36.79,1.93,, 
75,ADSK,205.07,+1.84,+0.91,Autodesk Inc,52.73,--,, 
96,AI,33.12,-2.8701,-7.97,C3 Ai Inc,,--,(Notes), 
77,ALB,194.73,-0.925,-0.47,Albemarle Corp,5.92,0.82,, 
111,AMAT,145.93,-2.08,-1.41,Applied Materials,19.22,0.88,, 
88,AMZN,138.31,-1.628,-1.16,Amazon.Com Inc,110.37,--,, 
55,APGMF,0.0002,0.00,--,Applied Graphene    Ordf,,--,, 
115,ARKF,21.31,-0.42,-1.93,Ark Fintech Innovation,,--,, 
116,ARKG,32.75,-0.37,-1.12,Ark Genomic Revolution,,--,, 
104,ARKK,43.47,-1.44,-3.21,Ark Innovation Etf,,--,, 
23,AVGO,853.71,-29.46,-3.34,Broadcom Inc,27.56,2.16,, 
90,BA,238.46,+0.42,+0.18,Boeing Co,,--,, 
34,BABA,94.95,+0.73,+0.77,Alibaba Group Hldg Ltd F,25.32,--,, 
109,BE,15.67,-0.095,-0.60,Bloom Energy Corp,,--,(Notes), 
84,BIDU,143.28,-0.64,-0.44,Baidu Inc              F,27.61,--,, 
11,BIO,397.80,-5.01,-1.24,Bio-Rad Labs Inc,,--,, 
9,BLK,696.52,-0.46,-0.07,Blackrock Inc,20.81,2.87,, 
10,BRK/B,359.22,-4.51,-1.24,Berkshire Hathaway,8.99,--,, 
40,BSX,51.16,+0.58,+1.15,Boston Scientific Co,84.64,--,, 
50,BYND,12.83,-0.27,-2.06,Beyond Meat Inc,,--,, 
102,C,44.60,-0.565,-1.25,Citigroup Inc,7.25,4.75,, 
12,CGC,0.4721,+0.0036,+0.77,Canopy Growth Corp     F,,--,, 
60,CGNX,48.98,+0.23,+0.47,Cognex Corp,50.58,0.57,(Notes), 
125,CMRE,11.55,+0.185,+1.63,Costamare Inc          F,2.83,3.98,, 
61,COST,560.48,+4.36,+0.78,Costco Wholesale Co,40.89,0.73,, 
28,COUP,80.96,0.00,--,Coupa Software Inc   Xxx,,--,, 
51,CRM,206.23,-5.35,-2.53,Salesforce Inc,565.74,--,, 
103,CRSP,50.73,-2.32,-4.37,Crispr Therapeutics    F,,--,, 
82,CSX,31.17,-0.145,-0.46,Csx Corp,15.90,1.41,, 
27,CVS,74.76,+0.755,+1.02,Cvs Health Corp,33.86,3.24,(Notes), 
98,DASH,82.43,-2.20,-2.60,Doordash Inc,,--,, 
32,DBX,27.70,-0.10,-0.36,Dropbox Inc,18.85,--,, 
29,DELL,56.71,-0.87,-1.51,Dell Technologies Inc,20.74,2.61,, 
44,DHT,9.755,-0.045,-0.46,Dht Maritime Hld Inc   F,13.98,9.43,, 
118,DIS,87.77,-0.365,-0.41,Walt Disney Co,38.35,--,, 
2,DOCU,50.82,-0.27,-0.53,Docusign Inc,,--,, 
53,DT,46.34,-0.86,-1.82,Dynatrace Inc,98.63,--,, 
79,EDIT,8.795,-0.105,-1.18,Editas Medicine Incorpor,,--,(Notes), 
14,EWA,22.49,+0.08,+0.36,Ishares Msci Australia,,3.78,, 
39,EWS,19.26,-0.01,-0.05,Ishares Msci Singapore,,4.62,, 
91,F,12.78,-0.105,-0.82,Ford Motor Co,12.49,4.70,, 
54,FDN,165.15,-1.69,-1.01,Fr Tr Dj Intnt Idx,,--,, 
93,FDX,266.66,-1.605,-0.60,Fedex Corp,16.99,1.89,, 
124,FERG,159.54,-1.18,-0.73,Ferguson Plc New       F,17.92,1.88,, 
101,FMCC,0.4514,+0.0013,+0.29,Federal Home Ln Mtg Corp,9.42,--,, 
99,FNMA,0.4516,+0.0015,+0.33,Federal Natl Mtg Assn,,--,, 
45,FRO,17.61,+0.33,+1.91,Frontline Plc          F,5.84,15.90,, 
127,FRSH,21.84,+0.39,+1.82,Freshworks Inc,,--,, 
42,GILD,80.36,+0.275,+0.34,Gilead Sciences Inc,18.09,3.73,, 
37,GLD,177.90,-0.745,-0.42,Spdr Gold Shares Etf,,--,, 
95,GLSI,10.24,+0.115,+1.14,Greenwich Lifesciences I,,--,, 
30,GWW,716.09,+2.61,+0.37,Ww Grainger Inc,20.68,1.04,, 
31,HUBS,490.33,+6.22,+1.28,Hubspot Inc,,--,, 
33,HUM,495.70,+2.48,+0.50,Humana Inc,18.46,0.71,, 
126,IBM,142.74,-1.51,-1.05,Ibm Corp,61.02,4.65,, 
65,IFNNY,37.59,+0.47,+1.27,Infineon Tech Ag       F,14.67,0.90,, 
36,IHI,53.45,+0.02,+0.04,Ishares Us Medical,,0.49,, 
114,ILMN,185.50,-0.66,-0.35,Illumina Inc,,--,, 
120,INTC,34.51,-0.515,-1.47,Intel Corp,,1.45,, 
4,INTU,498.70,-2.11,-0.42,Intuit Inc,63.94,0.63,(Notes), 
89,IPO,32.91,-0.8185,-2.43,Renaissance Ipo Etf,,--,, 
1,ISRG,305.06,+2.19,+0.72,Intuitive Surgical,77.53,--,, 
119,IZRL,19.60,+0.0367,+0.19,Ark Israel Innovative,,--,, 
59,JD,37.77,-0.28,-0.74,Jd Com Inc             F,23.01,1.64,, 
107,JMIA,3.92,-0.17,-4.16,Jumia Technologies A G F,,--,, 
52,JNJ,173.19,+0.01,+0.01,Johnson & Johnson,34.26,2.75,, 
41,JPM,154.39,-1.495,-0.96,Jpmorgan Chase & Co,10.03,2.59,, 
92,KARS,31.78,-0.11,-0.34,Kranshrs Elctr Vhcl Ftr,,1.01,, 
106,KBH,54.28,-0.54,-0.99,Kb Home,6.26,1.47,, 
26,LOGI,67.77,-0.07,-0.10,Logitech Intl S A      F,34.38,1.48,, 
7,LRCX,691.62,-4.38,-0.63,Lam Research Corp,20.79,1.00,, 
87,LTHM,23.30,+0.475,+2.08,Livent Corp,12.97,--,, 
97,LUV,33.52,-0.22,-0.65,Southwest Airlines,34.71,2.15,, 
22,MA,395.26,+2.07,+0.53,Mastercard Inc Cl A,37.20,0.58,, 
5,MELI,1317.43,-10.93,-0.82,Mercadolibre Inc,91.53,--,(Notes), 
85,MRNA,102.10,+2.3571,+2.36,Moderna Inc,35.32,--,, 
8,MSFT,323.93,-2.1199,-0.65,Microsoft Corp,33.86,0.84,, 
71,MTUM,144.86,-0.9801,-0.67,Ishares Msci Usa Momntum,,2.22,, 
122,MU,66.98,-0.675,-1.00,Micron Technology,,0.69,, 
46,NAT,4.4309,+0.1309,+3.04,Nordic Amern Tank      F,10.18,13.54,, 
49,NCLH,17.92,-0.505,-2.74,Norwegian Cruise Lin   F,,--,, 
68,NIO,13.54,-0.5325,-3.78,Nio Inc                F,,--,, 
74,NKLA,1.965,-0.245,-11.09,Nikola Corp,,--,, 
6,NOK,3.925,+0.025,+0.64,Nokia Oyj              F,4.86,2.80,, 
63,NOW,550.48,-2.355,-0.43,Service Now Inc,79.16,--,, 
105,NTLA,39.94,-0.075,-0.19,Intellia Therapeutics In,,--,(Notes), 
67,NVDA,427.75,-18.89,-4.23,Nvidia Corp,233.22,0.04,, 
83,PANW,213.30,+1.82,+0.86,Palo Alto Networks,329.74,--,, 
66,PDD,83.71,-0.01,-0.01,Pdd Holdings Inc       F,24.07,--,, 
58,PFE,35.97,+0.325,+0.91,Pfizer Inc,9.31,4.56,, 
110,PHMMF,36.97,0.00,--,Pharma Mar Sa       Ordf,,--,(Notes), 
81,PLL,47.64,-0.42,-0.87,Piedmont Lithium Inc,,--,, 
123,PLTR,15.33,-1.7092,-10.03,Palantir Technologies In,,--,, 
112,PLUG,10.85,-0.065,-0.60,Plug Power Inc,,--,, 
117,PRNT,22.38,-0.4345,-1.90,3D Printing Etf,,--,, 
47,PYPL,62.20,-0.99,-1.57,Paypal Holdings Incorpor,17.50,--,, 
20,QCOM,117.31,-0.35,-0.30,Qualcomm Inc,15.90,2.73,, 
121,QQQ,369.02,-2.98,-0.80,Invsc Qqq Trust Srs 1,,0.58,, 
35,RCL,103.71,-2.44,-2.30,Royal Caribbean Group  F,,--,, 
18,RDWR,16.99,-0.015,-0.09,Radware Ltd            F,,--,, 
62,RIO,63.80,+0.23,+0.36,Rio Tinto Plc          F,12.03,6.30,, 
108,ROKU,81.91,-4.63,-5.35,Roku I N C,,--,(Notes), 
69,RSP,151.85,-0.01,-0.01,Invsc S P 500 Equal,,1.67,, 
17,SAP,135.87,+1.24,+0.92,Sap Se                 F,91.30,1.64,, 
73,SHW,273.02,+0.205,+0.08,Sherwin Williams Co,30.37,0.89,(Notes), 
76,SNOW,154.53,-1.80,-1.15,Snowflake Inc,,--,, 
25,SPHD,41.95,+0.16,+0.38,Invesco S&P 500 High,,4.20,, 
86,SPWR,8.575,+0.075,+0.88,Sunpower Corp,20.60,--,, 
19,SQ,63.13,+0.75,+1.20,Block Inc,,--,, 
113,SQM,69.61,-0.16,-0.23,Sociedad Quimica Y Min F,5.17,12.56,(Notes), 
57,STZ,270.91,+0.805,+0.30,Constellation Brand Cl A,,1.31,, 
56,SWK,97.35,-0.04,-0.04,Stanley Black & Deck,,3.33,, 
13,SWKS,107.68,-1.08,-0.99,Skyworks Solutions,16.98,2.53,, 
100,SYK,282.26,-0.075,-0.03,Stryker Corp,40.07,1.06,, 
64,TGT,130.95,-0.03,-0.02,Target Corp,22.60,3.36,, 
15,TMO,550.18,-5.60,-1.01,Thermo Fisher Scntfc,37.48,0.25,, 
43,TNK,45.27,+1.2472,+2.83,Teekay Tankers Ltd.    F,2.88,2.21,, 
3,TSLA,243.72,-5.98,-2.39,Tesla Inc,72.20,--,(Notes), 
128,TSM,94.38,-0.11,-0.12,Taiwan Semiconductr    F,14.88,1.93,, 
24,TWLO,59.86,+1.46,+2.50,Twilio Inc,,--,(Notes), 
80,TXN,167.84,+1.11,+0.67,Texas Instruments,20.23,2.96,, 
72,UPS,179.98,-0.57,-0.32,United Parcel Srvc Cl B,14.63,3.60,, 
21,V,240.87,+1.58,+0.66,Visa Inc Cl A,30.33,0.75,, 
94,WDAY,225.77,-1.77,-0.78,Workday Inc Cl A,,--,, 
48,WFC,44.00,-0.48,-1.08,Wells Fargo & Co,11.35,3.18,, 
38,WHR,140.10,-1.66,-1.17,Whirlpool Corp,,5.00,, 
16,ZBRA,259.34,+5.66,+2.23,Zebra Technologies Cl A,19.85,--,, 
